,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day_of_week,day_of_month,month_of_year,quarter_of_year,year
65,1986-06-16 00:00:00-04:00,0.06756153181745429,0.06809770018962659,0.06648919507310969,0.06702536344528198,9590400,0.0,0.0,0,16,6,2,1986
66,1986-06-17 00:00:00-04:00,0.06756149041179489,0.06916999454252577,0.06756149041179489,0.06809765845537186,13075200,0.0,0.0,1,17,6,2,1986
67,1986-06-18 00:00:00-04:00,0.06809766789233507,0.06809766789233507,0.06648916353869794,0.06756149977445602,4348800,0.0,0.0,2,18,6,2,1986
68,1986-06-19 00:00:00-04:00,0.06756153181745429,0.06809770018962659,0.06648919507310969,0.06702536344528198,8467200,0.0,0.0,3,19,6,2,1986
69,1986-06-20 00:00:00-04:00,0.06702535632699326,0.06756152464222293,0.06702535632699326,0.0672934427857399,3801600,0.0,0.0,4,20,6,2,1986
70,1986-06-23 00:00:00-04:00,0.06729340869113706,0.06809765845537186,0.06595298628106402,0.06809765845537186,46195200,0.0,0.0,0,23,6,2,1986
71,1986-06-24 00:00:00-04:00,0.06809766789233507,0.06863383601021411,0.06702533165657698,0.06756149977445602,14572800,0.0,0.0,1,24,6,2,1986
72,1986-06-25 00:00:00-04:00,0.06756150381129394,0.06809767196120933,0.06648916751146317,0.06648916751146317,15235200,0.0,0.0,2,25,6,2,1986
73,1986-06-26 00:00:00-04:00,0.06648917585424349,0.067025344071435,0.06434450298547745,0.06434450298547745,19152000,0.0,0.0,3,26,6,2,1986
74,1986-06-27 00:00:00-04:00,0.06434450508869818,0.06488067332341536,0.06327216861926384,0.06380833685398102,10396800,0.0,0.0,4,27,6,2,1986
75,1986-06-30 00:00:00-04:00,0.06380835033957327,0.06756152877580995,0.06327218199153946,0.06595302373170853,62352000,0.0,0.0,0,30,6,2,1986
76,1986-07-01 00:00:00-04:00,0.06595302373170853,0.06595302373170853,0.06541685538367471,0.06595302373170853,47577600,0.0,0.0,1,1,7,3,1986
77,1986-07-02 00:00:00-04:00,0.06595302373170853,0.06595302373170853,0.06541685538367471,0.06595302373170853,52617600,0.0,0.0,2,2,7,3,1986
78,1986-07-03 00:00:00-04:00,0.06648919507310969,0.06756153181745429,0.06648919507310969,0.06702536344528198,14140800,0.0,0.0,3,3,7,3,1986
79,1986-07-07 00:00:00-04:00,0.067025344071435,0.067025344071435,0.06434450298547745,0.06434450298547745,14054400,0.0,0.0,0,7,7,3,1986
80,1986-07-08 00:00:00-04:00,0.06434450940298975,0.06434450940298975,0.06219921961704573,0.06273600459098816,14256000,0.0,0.0,1,8,7,3,1986
81,1986-07-09 00:00:00-04:00,0.06273599064406755,0.06273599064406755,0.05951836503210374,0.060054533183574677,46137600,0.0,0.0,2,9,7,3,1986
82,1986-07-10 00:00:00-04:00,0.06005453941027455,0.0605907076173376,0.05576519375377011,0.05844603478908539,46886400,0.0,0.0,3,10,7,3,1986
83,1986-07-11 00:00:00-04:00,0.058446028729161846,0.06112686948651657,0.058446028729161846,0.060054533183574677,17395200,0.0,0.0,4,11,7,3,1986
84,1986-07-14 00:00:00-04:00,0.05844599356592715,0.06059066488149869,0.05844599356592715,0.05925024300813675,28598400,0.0,0.0,0,14,7,3,1986
85,1986-07-15 00:00:00-04:00,0.05925027865523715,0.06112686948651657,0.058446028729161846,0.060054533183574677,13190400,0.0,0.0,1,15,7,3,1986
86,1986-07-16 00:00:00-04:00,0.06059072975362116,0.06219923496246338,0.06059072975362116,0.06219923496246338,9360000,0.0,0.0,2,16,7,3,1986
87,1986-07-17 00:00:00-04:00,0.062199217514150466,0.06327217072248459,0.0616630492616106,0.06327217072248459,6940800,0.0,0.0,3,17,7,3,1986
88,1986-07-18 00:00:00-04:00,0.06327216861926384,0.06434450508869818,0.06166304721187842,0.06380833685398102,12326400,0.0,0.0,4,18,7,3,1986
89,1986-07-21 00:00:00-04:00,0.06380833685398102,0.06488067332341536,0.06380833685398102,0.06380833685398102,3513600,0.0,0.0,0,21,7,3,1986
90,1986-07-22 00:00:00-04:00,0.06380835033957327,0.06595302373170853,0.06380835033957327,0.06595302373170853,10512000,0.0,0.0,1,22,7,3,1986
91,1986-07-23 00:00:00-04:00,0.06595300763705197,0.067025344071435,0.06434450298547745,0.06434450298547745,20793600,0.0,0.0,2,23,7,3,1986
92,1986-07-24 00:00:00-04:00,0.06541683121163237,0.06756150381129394,0.06541683121163237,0.06648916751146317,14140800,0.0,0.0,3,24,7,3,1986
93,1986-07-25 00:00:00-04:00,0.06648919507310969,0.06756153181745429,0.06648919507310969,0.06702536344528198,20448000,0.0,0.0,4,25,7,3,1986
94,1986-07-28 00:00:00-04:00,0.06702534743125595,0.06702534743125595,0.0654168426990509,0.0654168426990509,11808000,0.0,0.0,0,28,7,3,1986
95,1986-07-29 00:00:00-04:00,0.06541684155813254,0.06595300979284971,0.06273600038454667,0.06380833685398102,14054400,0.0,0.0,1,29,7,3,1986
96,1986-07-30 00:00:00-04:00,0.06380833995073346,0.06380833995073346,0.05951837716156128,0.06166305020451546,26409600,0.0,0.0,2,30,7,3,1986
97,1986-07-31 00:00:00-04:00,0.061663059868366614,0.0621992282131336,0.061126891523599625,0.061126891523599625,15638400,0.0,0.0,3,31,7,3,1986
98,1986-08-01 00:00:00-04:00,0.061126889998200006,0.0616630583295871,0.0600545533354258,0.0605907216668129,12902400,0.0,0.0,4,1,8,3,1986
