,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,day_of_week,day_of_month,month_of_year,quarter_of_year,year
114,2000-08-14 00:00:00-04:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0,0.0,0.0,0.0,0,14,8,3,2000
115,2000-08-15 00:00:00-04:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,400,0.0,0.0,0.0,1,15,8,3,2000
116,2000-08-16 00:00:00-04:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0,0.0,0.0,0.0,2,16,8,3,2000
117,2000-08-17 00:00:00-04:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0,0.0,0.0,0.0,3,17,8,3,2000
118,2000-08-18 00:00:00-04:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0,0.0,0.0,0.0,4,18,8,3,2000
119,2000-08-21 00:00:00-04:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0,0.0,0.0,0.0,0,21,8,3,2000
120,2000-08-22 00:00:00-04:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0,0.0,0.0,0.0,1,22,8,3,2000
121,2000-08-23 00:00:00-04:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0,0.0,0.0,0.0,2,23,8,3,2000
122,2000-08-24 00:00:00-04:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0,0.0,0.0,0.0,3,24,8,3,2000
123,2000-08-25 00:00:00-04:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0,0.0,0.0,0.0,4,25,8,3,2000
124,2000-08-28 00:00:00-04:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0,0.0,0.0,0.0,0,28,8,3,2000
125,2000-08-29 00:00:00-04:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0,0.0,0.0,0.0,1,29,8,3,2000
126,2000-08-30 00:00:00-04:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0,0.0,0.0,0.0,2,30,8,3,2000
127,2000-08-31 00:00:00-04:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0,0.0,0.0,0.0,3,31,8,3,2000
128,2000-09-01 00:00:00-04:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,200,0.0,0.0,0.0,4,1,9,3,2000
129,2000-09-05 00:00:00-04:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0,0.0,0.0,0.0,1,5,9,3,2000
130,2000-09-06 00:00:00-04:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0,0.0,0.0,0.0,2,6,9,3,2000
131,2000-09-07 00:00:00-04:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0,0.0,0.0,0.0,3,7,9,3,2000
132,2000-09-08 00:00:00-04:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0,0.0,0.0,0.0,4,8,9,3,2000
133,2000-09-11 00:00:00-04:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,64,0.0,0.0,0.0,0,11,9,3,2000
134,2000-09-12 00:00:00-04:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0,0.0,0.0,0.0,1,12,9,3,2000
135,2000-09-13 00:00:00-04:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0,0.0,0.0,0.0,2,13,9,3,2000
136,2000-09-14 00:00:00-04:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0,0.0,0.0,0.0,3,14,9,3,2000
137,2000-09-15 00:00:00-04:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0,0.0,0.0,0.0,4,15,9,3,2000
138,2000-09-18 00:00:00-04:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0,0.0,0.0,0.0,0,18,9,3,2000
139,2000-09-19 00:00:00-04:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0,0.0,0.0,0.0,1,19,9,3,2000
140,2000-09-20 00:00:00-04:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0,0.0,0.0,0.0,2,20,9,3,2000
141,2000-09-21 00:00:00-04:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0,0.0,0.0,0.0,3,21,9,3,2000
142,2000-09-22 00:00:00-04:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,700,0.0,0.0,0.0,4,22,9,3,2000
143,2000-09-25 00:00:00-04:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0,0.0,0.0,0.0,0,25,9,3,2000
144,2000-09-26 00:00:00-04:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0,0.0,0.0,0.0,1,26,9,3,2000
145,2000-09-27 00:00:00-04:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0,0.0,0.0,0.0,2,27,9,3,2000
146,2000-09-28 00:00:00-04:00,3.24783992767334,3.24783992767334,3.24783992767334,3.24783992767334,40,0.0,0.0,0.0,3,28,9,3,2000
